dataset,variant_code,variant_name,use_text,use_kpi_contrastive,use_uncertainty,seed,precision,recall,f1,auroc,ap,best_val_f1,epochs_run,wall_seconds
TelecomTS,V1,Residual-only,0,0,0,42,0.927038626609442,0.8744939271255061,0.9,0.972159845268731,0.9752744472680338,0.9326424870466321,40,203.8
TelecomTS,V1,Residual-only,0,0,0,123,0.956140350877193,0.8825910931174089,0.9178947368421052,0.9721680407808685,0.9769787136280147,0.9381443298969072,49,328.1
TelecomTS,V1,Residual-only,0,0,0,456,0.9650655021834061,0.8947368421052632,0.9285714285714286,0.9755282007572653,0.9773456641877057,0.9357326478149101,45,497.3
TelecomTS,V1,Residual-only,0,0,0,789,0.926530612244898,0.9190283400809717,0.9227642276422764,0.9652510285367732,0.9721767364057475,0.9168765743073047,33,421.8
TelecomTS,V1,Residual-only,0,0,0,1337,0.9409282700421941,0.902834008097166,0.9214876033057852,0.9765936173351473,0.9772011203767916,0.9414758269720102,44,558.7
TelecomTS,V2,+ Text fusion (no KPI contrastive),1,0,0,42,0.9872881355932204,0.9433198380566802,0.9648033126293996,0.9808880656952252,0.9791098621023355,0.9796954314720813,29,1856.6
TelecomTS,V2,+ Text fusion (no KPI contrastive),1,0,0,123,0.9586776859504132,0.9392712550607287,0.9488752556237219,0.9917061417167958,0.9924911651098879,0.9801980198019802,24,1556.9
TelecomTS,V2,+ Text fusion (no KPI contrastive),1,0,0,456,0.9676113360323887,0.9676113360323887,0.9676113360323887,0.9903538822140996,0.9922167292278505,0.9825436408977556,42,2814.7
TelecomTS,V2,+ Text fusion (no KPI contrastive),1,0,0,789,0.9596774193548387,0.9635627530364372,0.9616161616161616,0.9869609401891524,0.988094557444189,0.9825436408977556,38,3469.4
TelecomTS,V2,+ Text fusion (no KPI contrastive),1,0,0,1337,0.9631147540983607,0.951417004048583,0.9572301425661914,0.9871166549197659,0.9896008322244408,0.9674185463659147,23,1604.2
TelecomTS,V3,"KAC (uncertainty-weighted KPI contrastive, ours)",1,1,1,42,0.9786324786324786,0.9271255060728745,0.9521829521829522,0.9838384500647446,0.9877915541986282,0.9797979797979798,34,2181.7
TelecomTS,V3,"KAC (uncertainty-weighted KPI contrastive, ours)",1,1,1,123,0.96,0.97165991902834,0.96579476861167,0.9920667442508482,0.9931552788344976,0.9800995024875622,45,2530.7
TelecomTS,V3,"KAC (uncertainty-weighted KPI contrastive, ours)",1,1,1,456,0.9699570815450643,0.9149797570850202,0.9416666666666667,0.9816748348604304,0.9858243105910411,0.9773299748110831,22,1040.3
TelecomTS,V3,"KAC (uncertainty-weighted KPI contrastive, ours)",1,1,1,789,0.979253112033195,0.9554655870445344,0.9672131147540983,0.9910750872822043,0.992312628743771,0.9774436090225563,35,1627.1
TelecomTS,V3,"KAC (uncertainty-weighted KPI contrastive, ours)",1,1,1,1337,0.9554655870445344,0.9554655870445344,0.9554655870445344,0.985903719123408,0.9886476654678839,0.9701492537313433,29,1413.2
